srr	sample_name	replicate	single_paired	rcomp	unusable	trim_read_depth	sample_qc_score	paper_id	sample_id	protocol	paper_name	organism	cell_type	sample_id	condition_type	treatment	conc_intens	start_time	end_time	duration	duration_unit
SRR408117	SRR408117	1	single	0	0	96519840	4	216	1808	GRO-seq	Marazzi2012suppression	H. sapiens	A549	1808	no treatment			NULL	NULL	NULL	
SRR408118	SRR408118	1	single	0	0	90164686	3	216	1809	GRO-seq	Marazzi2012suppression	H. sapiens	A549	1809	treatment	influenza A virus Flag-NS1	MOI 0.01	-12	0	12	hr
SRR408119	SRR408119	1	single	0	0	96183387	3	216	1810	GRO-seq	Marazzi2012suppression	H. sapiens	A549	1810	treatment	influenza A virus Flag-deltaPAF	MOI 0.01	-12	0	12	hr
SRR579295	SRR579295	1	single	0	0	21095684	1	65	561	GRO-seq	Danko2013signaling	H. sapiens	AC16	561	treatment	TNF-alpha	25 ng/mL	-10	0	10	min
SRR579294	SRR579294	2	single	0	0	23182200	1	65	560	GRO-seq	Danko2013signaling	H. sapiens	AC16	560	no treatment			NULL	NULL	NULL	
SRR579293	SRR579293	1	single	0	0	21543740	1	65	559	GRO-seq	Danko2013signaling	H. sapiens	AC16	559	no treatment			NULL	NULL	NULL	
SRR1015594	SRR1015594	2	single	0	0	153544155	4	210	1758	GRO-seq	Luo2014dynamic	H. sapiens	AC16	1758	no treatment			NULL	NULL	NULL	
SRR1015593	SRR1015593	1	single	0	0	129665819	3	210	1757	GRO-seq	Luo2014dynamic	H. sapiens	AC16	1757	no treatment			NULL	NULL	NULL	
SRR1015592	SRR1015592	2	single	0	0	54654868	1	210	1756	GRO-seq	Luo2014dynamic	H. sapiens	AC16	1756	vehicle	DMSO		-15	0	15	min
SRR1015591	SRR1015591	1	single	0	0	76671037	1	210	1755	GRO-seq	Luo2014dynamic	H. sapiens	AC16	1755	vehicle	DMSO		-15	0	15	min
SRR1015590	SRR1015590	2	single	0	0	23741209	1	210	1754	GRO-seq	Luo2014dynamic	H. sapiens	AC16	1754	treatment	TNF-alpha	25 ng/mL	-2	0	2	hr
SRR1015589	SRR1015589	1	single	0	0	19911846	2	210	1753	GRO-seq	Luo2014dynamic	H. sapiens	AC16	1753	treatment	TNF-alpha	25 ng/mL	-2	0	2	hr
SRR1015588	SRR1015588	2	single	0	0	21457631	1	210	1752	GRO-seq	Luo2014dynamic	H. sapiens	AC16	1752	treatment	TNF-alpha	25 ng/mL	-30	0	30	min
SRR1015587	SRR1015587	1	single	0	0	15902227	2	210	1751	GRO-seq	Luo2014dynamic	H. sapiens	AC16	1751	treatment	TNF-alpha	25 ng/mL	-30	0	30	min
SRR1015586	SRR1015586	2	single	0	0	17926564	2	210	1750	GRO-seq	Luo2014dynamic	H. sapiens	AC16	1750	treatment	TNF-alpha	25 ng/mL	-10	0	10	min
SRR1015585	SRR1015585	1	single	0	0	21095684	1	210	1749	GRO-seq	Luo2014dynamic	H. sapiens	AC16	1749	treatment	TNF-alpha	25 ng/mL	-10	0	10	min
SRR1015584	SRR1015584	2	single	0	0	23182200	1	210	1748	GRO-seq	Luo2014dynamic	H. sapiens	AC16	1748	no treatment			NULL	NULL	NULL	
SRR1015583	SRR1015583	1	single	0	0	21543740	1	210	1747	GRO-seq	Luo2014dynamic	H. sapiens	AC16	1747	no treatment			NULL	NULL	NULL	
SRR579298	SRR579298	2	single	0	0	21457631	1	65	564	GRO-seq	Danko2013signaling	H. sapiens	AC16	564	treatment	TNF-alpha	25 ng/mL	-30	0	30	min
SRR579297	SRR579297	1	single	0	0	15902227	2	65	563	GRO-seq	Danko2013signaling	H. sapiens	AC16	563	treatment	TNF-alpha	25 ng/mL	-30	0	30	min
SRR579296	SRR579296	2	single	0	0	17926564	2	65	562	GRO-seq	Danko2013signaling	H. sapiens	AC16	562	treatment	TNF-alpha	25 ng/mL	-10	0	10	min
SRR3713719	SRR3713719	1	single	1	0	52978457	3	358	2840	PRO-seq	Zhao2016high	H. sapiens	acute myeloid leukemia cell	2840	treatment	JQ1	250 nM	-1	0	1	hr
SRR3713718	SRR3713718	1	single	1	0	37605587	2	358	2839	PRO-seq	Zhao2016high	H. sapiens	acute myeloid leukemia cell	2839	vehicle	DMSO		-1	0	1	hr
SRR5109938	SRR5109938	1	single	0	0	19439062	2	34	339	GRO-seq	Bouvyliivrand2017analysis	H. sapiens	ARPE-19	339	no treatment			NULL	NULL	NULL	
SRR5364081	SRZ5364079	2	single	0	0	61095084	3	103	850	GRO-seq	Franco2018enhancer	H. sapiens	AU565	850	no treatment			NULL	NULL	NULL	
SRR5364079	SRZ5364079	2	single	0	0	61095084	3	103	850	GRO-seq	Franco2018enhancer	H. sapiens	AU565	850	no treatment			NULL	NULL	NULL	
SRR5364078	SRZ5364078	1	single	0	0	65024573	3	103	849	GRO-seq	Franco2018enhancer	H. sapiens	AU565	849	no treatment			NULL	NULL	NULL	
SRR5364080	SRZ5364078	1	single	0	0	65024573	3	103	849	GRO-seq	Franco2018enhancer	H. sapiens	AU565	849	no treatment			NULL	NULL	NULL	
SRR531825	SRR531825	1	single	0	0	169436074	2	325	2595	GRO-seq	Wang2014rna	H. sapiens	B cell	2595	no treatment			NULL	NULL	NULL	
SRR531824	SRR531824	1	single	0	0	161512749	2	325	2594	GRO-seq	Wang2014rna	H. sapiens	B cell	2594	no treatment			NULL	NULL	NULL	
SRR531826	SRR531826	1	single	1	0	77873871	4	326	2596	PRO-seq	Wang2014rna	H. sapiens	B cell	2596	no treatment			NULL	NULL	NULL	
SRR8429061	SRR8429061	2	single	1	0	80085758	4	261	2178	GRO-seq	Sasse2019nascent	H. sapiens	BEAS-2B	2178	treatment	dexamethasone	100 nM	-30	0	30	min
SRR8429061	SRR8429061	2	single	1	0	80085758	4	261	2178	GRO-seq	Sasse2019nascent	H. sapiens	BEAS-2B	2178	treatment	TNF-alpha	20 ng/mL	-30	0	30	min
SRR8429060	SRR8429060	1	single	1	0	79161306	3	261	2177	GRO-seq	Sasse2019nascent	H. sapiens	BEAS-2B	2177	treatment	dexamethasone	100 nM	-30	0	30	min
SRR8429060	SRR8429060	1	single	1	0	79161306	3	261	2177	GRO-seq	Sasse2019nascent	H. sapiens	BEAS-2B	2177	treatment	TNF-alpha	20 ng/mL	-30	0	30	min
SRR8429059	SRR8429059	2	single	1	0	112537299	4	261	2176	GRO-seq	Sasse2019nascent	H. sapiens	BEAS-2B	2176	treatment	dexamethasone	100 nM	-30	0	30	min
SRR8429058	SRR8429058	1	single	1	0	75327780	3	261	2175	GRO-seq	Sasse2019nascent	H. sapiens	BEAS-2B	2175	treatment	dexamethasone	100 nM	-30	0	30	min
SRR8429057	SRR8429057	2	single	1	0	108866146	4	261	2174	GRO-seq	Sasse2019nascent	H. sapiens	BEAS-2B	2174	treatment	TNF-alpha	20 ng/mL	-30	0	30	min
SRR8429056	SRR8429056	1	single	1	0	74153519	3	261	2173	GRO-seq	Sasse2019nascent	H. sapiens	BEAS-2B	2173	treatment	TNF-alpha	20 ng/mL	-30	0	30	min
SRR8429055	SRR8429055	2	single	1	0	80457374	4	261	2172	GRO-seq	Sasse2019nascent	H. sapiens	BEAS-2B	2172	vehicle	ethanol		-30	0	30	min
SRR8429054	SRR8429054	1	single	1	0	56099192	3	261	2171	GRO-seq	Sasse2019nascent	H. sapiens	BEAS-2B	2171	vehicle	ethanol		-30	0	30	min
SRR8429053	SRR8429053	2	single	1	0	59057507	4	261	2170	GRO-seq	Sasse2019nascent	H. sapiens	BEAS-2B	2170	treatment	dexamethasone	100 nM	-10	0	10	min
SRR8429053	SRR8429053	2	single	1	0	59057507	4	261	2170	GRO-seq	Sasse2019nascent	H. sapiens	BEAS-2B	2170	treatment	TNF-alpha	20 ng/mL	-10	0	10	min
SRR8429052	SRR8429052	1	single	1	0	116526720	4	261	2169	GRO-seq	Sasse2019nascent	H. sapiens	BEAS-2B	2169	treatment	dexamethasone	100 nM	-10	0	10	min
SRR8429052	SRR8429052	1	single	1	0	116526720	4	261	2169	GRO-seq	Sasse2019nascent	H. sapiens	BEAS-2B	2169	treatment	TNF-alpha	20 ng/mL	-10	0	10	min
SRR8429051	SRR8429051	2	single	1	0	107648879	4	261	2168	GRO-seq	Sasse2019nascent	H. sapiens	BEAS-2B	2168	treatment	dexamethasone	100 nM	-10	0	10	min
SRR8429050	SRR8429050	1	single	1	0	100073137	4	261	2167	GRO-seq	Sasse2019nascent	H. sapiens	BEAS-2B	2167	treatment	dexamethasone	100 nM	-10	0	10	min
SRR8429048	SRR8429048	1	single	1	0	81855147	4	261	2165	GRO-seq	Sasse2019nascent	H. sapiens	BEAS-2B	2165	treatment	TNF-alpha	20 ng/mL	-10	0	10	min
SRR8429047	SRR8429047	2	single	1	0	105288056	4	261	2164	GRO-seq	Sasse2019nascent	H. sapiens	BEAS-2B	2164	vehicle	ethanol		-10	0	10	min
SRR8429046	SRR8429046	1	single	1	0	83424668	2	261	2163	GRO-seq	Sasse2019nascent	H. sapiens	BEAS-2B	2163	vehicle	ethanol		-10	0	10	min
SRR12482693	SRR12482693	2	single	1	0	131284199	2	107	877	PRO-seq	Gally2020gain	H. sapiens	BEAS-2B	877	no treatment			NULL	NULL	NULL	
SRR12482692	SRR12482692	1	single	1	0	75166278	3	107	876	PRO-seq	Gally2020gain	H. sapiens	BEAS-2B	876	no treatment			NULL	NULL	NULL	
SRR8429049	SRR8429049	2	single	1	0	109085879	3	261	2166	GRO-seq	Sasse2019nascent	H. sapiens	BEAS-2B	2166	treatment	TNF-alpha	20 ng/mL	-10	0	10	min
SRR6497148	SRZ6497147	1	single	0	0	54379739	3	182	1479	GRO-seq	Li2018lncrna	H. sapiens	BJ	1479	no treatment			NULL	NULL	NULL	
SRR6497149	SRZ6497149	2	single	0	0	76576582	3	182	1480	GRO-seq	Li2018lncrna	H. sapiens	BJ	1480	no treatment			NULL	NULL	NULL	
SRR6497150	SRZ6497149	2	single	0	0	76576582	3	182	1480	GRO-seq	Li2018lncrna	H. sapiens	BJ	1480	no treatment			NULL	NULL	NULL	
SRR6497151	SRZ6497151	1	single	0	0	43515116	2	182	1481	GRO-seq	Li2018lncrna	H. sapiens	BJ	1481	treatment	hydroxytamoxifen	100 nM	-14	0	14	day
SRR6497152	SRZ6497151	1	single	0	0	43515116	2	182	1481	GRO-seq	Li2018lncrna	H. sapiens	BJ	1481	treatment	hydroxytamoxifen	100 nM	-14	0	14	day
SRR6497153	SRZ6497153	2	single	0	0	62398968	2	182	1482	GRO-seq	Li2018lncrna	H. sapiens	BJ	1482	treatment	hydroxytamoxifen	100 nM	-14	0	14	day
SRR6497154	SRZ6497153	2	single	0	0	62398968	2	182	1482	GRO-seq	Li2018lncrna	H. sapiens	BJ	1482	treatment	hydroxytamoxifen	100 nM	-14	0	14	day
SRR6497147	SRZ6497147	1	single	0	0	54379739	3	182	1479	GRO-seq	Li2018lncrna	H. sapiens	BJ	1479	no treatment			NULL	NULL	NULL	
SRR5350746	SRR5350746	1	single	0	0	22442409	1	287	2303	GRO-seq	Slobodin2017transcription	H. sapiens	BJ	2303	no treatment			NULL	NULL	NULL	
SRR5350747	SRR5350747	2	single	0	0	31172254	1	287	2304	GRO-seq	Slobodin2017transcription	H. sapiens	BJ	2304	no treatment			NULL	NULL	NULL	
SRR10601203	SRR10601203	1	paired	0	0	34338383	1	130	1011	GRO-seq	Ikegami2020phosphorylated	H. sapiens	BJ5ta	1011	no treatment			NULL	NULL	NULL	
SRR10601204	SRR10601204	2	paired	0	0	34594863	1	130	1012	GRO-seq	Ikegami2020phosphorylated	H. sapiens	BJ5ta	1012	no treatment			NULL	NULL	NULL	
SRR10063548	SRR10063548	1	single	0	0	18268565	2	193	1595	GRO-seq	Linnakuosmanen2020nrf2	H. sapiens	CD14+ macrophage	1595	treatment	oxPAPC	30 g/mL	-6	0	6	hr
SRR10063545	SRR10063545	2	single	0	0	26314900	2	193	1594	GRO-seq	Linnakuosmanen2020nrf2	H. sapiens	CD14+ macrophage	1594	vehicle	growth media		-6	0	6	hr
SRR10063544	SRR10063544	1	single	0	0	19383130	2	193	1593	GRO-seq	Linnakuosmanen2020nrf2	H. sapiens	CD14+ macrophage	1593	vehicle	growth media		-6	0	6	hr
SRR5944951	SRZ5944951	2	single	0	0	50590167	4	108	881	GRO-seq	Gao2017thyroid	H. sapiens	CD34+ erythroblast	881	treatment	GC-1	1 M	-6	0	6	hr
SRR11785044	SRR11785044	1	paired	0	0	53884958	1	204	1708	PRO-seq	Liu2021transcription	H. sapiens	CD34+ erythroblast	1708	no treatment			NULL	NULL	NULL	
SRR11785047	SRR11785047	2	paired	0	0	43538425	1	204	1711	PRO-seq	Liu2021transcription	H. sapiens	CD34+ erythroblast	1711	no treatment			NULL	NULL	NULL	
SRR11785050	SRR11785050	1	paired	0	0	50875125	1	204	1714	PRO-seq	Liu2021transcription	H. sapiens	CD34+ erythroblast	1714	no treatment			NULL	NULL	NULL	
SRR11785051	SRR11785051	2	paired	0	0	47868057	1	204	1715	PRO-seq	Liu2021transcription	H. sapiens	CD34+ erythroblast	1715	no treatment			NULL	NULL	NULL	
SRR11785045	SRR11785045	2	paired	0	0	44149369	1	204	1709	PRO-seq	Liu2021transcription	H. sapiens	CD34+ erythroblast	1709	no treatment			NULL	NULL	NULL	
SRR11785048	SRR11785048	1	paired	0	0	50673433	1	204	1712	PRO-seq	Liu2021transcription	H. sapiens	CD34+ erythroblast	1712	no treatment			NULL	NULL	NULL	
SRR11785049	SRR11785049	2	paired	0	0	50016347	1	204	1713	PRO-seq	Liu2021transcription	H. sapiens	CD34+ erythroblast	1713	no treatment			NULL	NULL	NULL	
SRR11785046	SRR11785046	1	paired	0	0	34332052	1	204	1710	PRO-seq	Liu2021transcription	H. sapiens	CD34+ erythroblast	1710	no treatment			NULL	NULL	NULL	
SRR5944953	SRZ5944951	2	single	0	0	50590167	4	108	881	GRO-seq	Gao2017thyroid	H. sapiens	CD34+ erythroblast	881	treatment	GC-1	1 M	-6	0	6	hr
SRR5944952	SRZ5944950	1	single	0	0	73409312	4	108	880	GRO-seq	Gao2017thyroid	H. sapiens	CD34+ erythroblast	880	vehicle	DMSO		-6	0	6	hr
SRR5944950	SRZ5944950	1	single	0	0	73409312	4	108	880	GRO-seq	Gao2017thyroid	H. sapiens	CD34+ erythroblast	880	vehicle	DMSO		-6	0	6	hr
SRR4012391	SRZ4012390	1	single	1	0	39388204	2	72	587	PRO-seq	Danko2018dynamic	H. sapiens	CD4+ T cell	587	vehicle	ethanol		-30	0	30	min
SRR4012395	SRZ4012394	2	single	1	0	78323360	3	72	588	PRO-seq	Danko2018dynamic	H. sapiens	CD4+ T cell	588	treatment	ionomycin	1 mM	-30	0	30	min
SRR4012394	SRZ4012394	2	single	1	0	78323360	3	72	588	PRO-seq	Danko2018dynamic	H. sapiens	CD4+ T cell	588	treatment	ionomycin	1 mM	-30	0	30	min
SRR4012392	SRZ4012390	1	single	1	0	39388204	2	72	587	PRO-seq	Danko2018dynamic	H. sapiens	CD4+ T cell	587	vehicle	DMSO		-30	0	30	min
SRR4012391	SRZ4012390	1	single	1	0	39388204	2	72	587	PRO-seq	Danko2018dynamic	H. sapiens	CD4+ T cell	587	vehicle	DMSO		-30	0	30	min
SRR4012390	SRZ4012390	1	single	1	0	39388204	2	72	587	PRO-seq	Danko2018dynamic	H. sapiens	CD4+ T cell	587	vehicle	DMSO		-30	0	30	min
SRR4012392	SRZ4012390	1	single	1	0	39388204	2	72	587	PRO-seq	Danko2018dynamic	H. sapiens	CD4+ T cell	587	vehicle	ethanol		-30	0	30	min
SRR1810069	SRZ1810067	1	single	1	0	86475834	3	67	576	PRO-seq	Danko2015identification	H. sapiens	CD4+ T cell	576	vehicle	DMSO/ethanol		-30	0	30	min
SRR4012398	SRZ4012394	2	single	1	0	78323360	3	72	588	PRO-seq	Danko2018dynamic	H. sapiens	CD4+ T cell	588	treatment	ionomycin	1 mM	-30	0	30	min
SRR4012399	SRZ4012394	2	single	1	0	78323360	3	72	588	PRO-seq	Danko2018dynamic	H. sapiens	CD4+ T cell	588	treatment	ionomycin	1 mM	-30	0	30	min
SRR4012394	SRZ4012394	2	single	1	0	78323360	3	72	588	PRO-seq	Danko2018dynamic	H. sapiens	CD4+ T cell	588	treatment	phorbol 12-myristate 13-acetate	25 ng/mL	-30	0	30	min
SRR4012400	SRZ4012400	3	single	1	0	16263064	3	72	590	PRO-seq	Danko2018dynamic	H. sapiens	CD4+ T cell	590	vehicle	DMSO		-30	0	30	min
SRR6780908	SRR6780908	4	single	1	0	43233899	1	72	584	PRO-seq	Danko2018dynamic	H. sapiens	CD4+ T cell	584	treatment	phorbol 12-myristate 13-acetate	25 ng/mL	-30	0	30	min
SRR6780908	SRR6780908	4	single	1	0	43233899	1	72	584	PRO-seq	Danko2018dynamic	H. sapiens	CD4+ T cell	584	treatment	ionomycin	1 mM	-30	0	30	min
SRR6780907	SRR6780907	4	single	1	0	46128670	1	72	583	PRO-seq	Danko2018dynamic	H. sapiens	CD4+ T cell	583	vehicle	DMSO		-30	0	30	min
SRR6780907	SRR6780907	4	single	1	0	46128670	1	72	583	PRO-seq	Danko2018dynamic	H. sapiens	CD4+ T cell	583	vehicle	ethanol		-30	0	30	min
SRR4012403	SRZ4012402	3	single	1	0	4151452	5	72	591	PRO-seq	Danko2018dynamic	H. sapiens	CD4+ T cell	591	treatment	phorbol 12-myristate 13-acetate	25 ng/mL	-30	0	30	min
SRR4012402	SRZ4012402	3	single	1	0	4151452	5	72	591	PRO-seq	Danko2018dynamic	H. sapiens	CD4+ T cell	591	treatment	phorbol 12-myristate 13-acetate	25 ng/mL	-30	0	30	min
SRR4012403	SRZ4012402	3	single	1	0	4151452	5	72	591	PRO-seq	Danko2018dynamic	H. sapiens	CD4+ T cell	591	treatment	ionomycin	1 mM	-30	0	30	min
SRR4012402	SRZ4012402	3	single	1	0	4151452	5	72	591	PRO-seq	Danko2018dynamic	H. sapiens	CD4+ T cell	591	treatment	ionomycin	1 mM	-30	0	30	min
SRR4012401	SRZ4012400	3	single	1	0	16263064	3	72	590	PRO-seq	Danko2018dynamic	H. sapiens	CD4+ T cell	590	vehicle	DMSO		-30	0	30	min
SRR4012395	SRZ4012394	2	single	1	0	78323360	3	72	588	PRO-seq	Danko2018dynamic	H. sapiens	CD4+ T cell	588	treatment	phorbol 12-myristate 13-acetate	25 ng/mL	-30	0	30	min
SRR4012401	SRZ4012400	3	single	1	0	16263064	3	72	590	PRO-seq	Danko2018dynamic	H. sapiens	CD4+ T cell	590	vehicle	ethanol		-30	0	30	min
SRR4012400	SRZ4012400	3	single	1	0	16263064	3	72	590	PRO-seq	Danko2018dynamic	H. sapiens	CD4+ T cell	590	vehicle	ethanol		-30	0	30	min
SRR4012397	SRZ4012396	2	single	1	0	38678020	3	72	589	PRO-seq	Danko2018dynamic	H. sapiens	CD4+ T cell	589	vehicle	DMSO		-30	0	30	min
SRR4012396	SRZ4012396	2	single	1	0	38678020	3	72	589	PRO-seq	Danko2018dynamic	H. sapiens	CD4+ T cell	589	vehicle	DMSO		-30	0	30	min
SRR4012397	SRZ4012396	2	single	1	0	38678020	3	72	589	PRO-seq	Danko2018dynamic	H. sapiens	CD4+ T cell	589	vehicle	ethanol		-30	0	30	min
SRR4012396	SRZ4012396	2	single	1	0	38678020	3	72	589	PRO-seq	Danko2018dynamic	H. sapiens	CD4+ T cell	589	vehicle	ethanol		-30	0	30	min
SRR4012399	SRZ4012394	2	single	1	0	78323360	3	72	588	PRO-seq	Danko2018dynamic	H. sapiens	CD4+ T cell	588	treatment	phorbol 12-myristate 13-acetate	25 ng/mL	-30	0	30	min
SRR4012398	SRZ4012394	2	single	1	0	78323360	3	72	588	PRO-seq	Danko2018dynamic	H. sapiens	CD4+ T cell	588	treatment	phorbol 12-myristate 13-acetate	25 ng/mL	-30	0	30	min
SRR4012393	SRR4012393	1	single	1	0	41815250	3	72	578	PRO-seq	Danko2018dynamic	H. sapiens	CD4+ T cell	578	treatment	phorbol 12-myristate 13-acetate	25 ng/mL	-30	0	30	min
